key,de-DE,R,en-US,R,da-DK,R,fi-FI,R,sv-SE,R,fr-FR,R,it-IT,R,es-ES,R
custom.data.type.gazeteer.update.error.generic,"Fehler beim Suchen nach Gazetteer-Objekten.

Query: %(searchQuery)s.

Fehler: %(error)s",FALSE,"Error in search of Gazetteer objects.

Query: %(searchQuery)s.

Error: %(error)s",FALSE,"Error in search of Gazetteer objects.

Query: %(searchQuery)s.

Error: %(error)s",FALSE,"Virhe haettaessa paikkatieto-objekteja.

Kysely: %(searchQuery)s.

Virhe: %(error)s",FALSE,Fel vid sökning av gazetteer-objekt.\n\nSökning: %(searchQuery)s.\n\nFel: %(error)s,FALSE,"Erreur dans la recherche des objets Gazetteer.

Requête: %(searchQuery)s.

Erreur: %(error)s",FALSE,"Error in search of Gazetteer objects.

Query: %(searchQuery)s.

Error: %(error)s",FALSE,"Error in search of Gazetteer objects.

Query: %(searchQuery)s.

Error: %(error)s",FALSE
custom.data.type.gazeteer.update.error.invalid-action,'action' ungültig: %(action)s,FALSE,Invalid action: %(action)s,FALSE,Invalid action: %(action)s,FALSE,Virheellinen toiminto: %(action)s,FALSE,Ogiltig åtgärd: %(action)s,FALSE,Action invalide : %(action)s,FALSE,Invalid action: %(action)s,FALSE,Invalid action: %(action)s,FALSE
custom.data.type.gazeteer.update.error.objects-missing,Für Update: Wert 'objects' fehlt,FALSE,For update: key 'objects' missing,FALSE,For update: key 'objects' missing,FALSE,päivitystä varten: avain 'objektit' puuttuu,FALSE,för uppdatering: nyckel 'objekt' saknas,FALSE,Pour mise à jour : 'objects' clés manquants,FALSE,For update: key 'objects' missing,FALSE,For update: key 'objects' missing,FALSE
custom.data.type.gazeteer.update.error.objects-not-array,Für Update: Wert 'objects' muss vom Typ 'array' sein,FALSE,For update: invalid key 'objects': must be an array,FALSE,For update: invalid key 'objects': must be an array,FALSE,päivitystä varten: virheellinen avain 'objektit': täytyy olla tyyppiä array,FALSE,för uppdatering: ogiltig nyckel 'objekt': måste vara av typen array,FALSE,Pour la mise à jour : clé  'objects' non valide : doit être un tableau,FALSE,For update: invalid key 'objects': must be an array,FALSE,For update: invalid key 'objects': must be an array,FALSE
custom.data.type.gazeteer.update.error.payload-key-missing,%(key)s fehlt in der Payload,FALSE,Missing %(key)s in payload,FALSE,Missing %(key)s in payload,FALSE,Datapaketista puuttuu %(key)s,FALSE,Saknar %(key)s i nyttolasten,FALSE,%(key)s manquant pour le Payload,FALSE,Missing %(key)s in payload,FALSE,Missing %(key)s in payload,FALSE
custom.data.type.gazeteer.update.error.payload-missing,Payload fehlt,FALSE,Payload is missing,FALSE,Payload is missing,FALSE,Datapaketti puuttuu,FALSE,Nyttolast saknas,FALSE,Payload est manquante,FALSE,Payload is missing,FALSE,Payload is missing,FALSE
custom.data.type.gazetteer.config.field_from.label,Quellfeld,FALSE,Source field,FALSE,Source field,FALSE,Lähdekenttä,FALSE,Källfält,FALSE,Champ source,FALSE,Source field,FALSE,Source field,FALSE
custom.data.type.gazetteer.config.field_to.label,Zielfeld (vom Typ Gazetteer),FALSE,Target field of type Gazetteer,FALSE,Target field of type Gazetteer,FALSE,Kohdekenttä tyyppiä paikkatieto,FALSE,Målfält av typen Gazetteer,FALSE,Champ cible de type Répertoire géographique (Gazetteer),FALSE,Target field of type Gazetteer,FALSE,Target field of type Gazetteer,FALSE
custom.data.type.gazetteer.config.field-from-empty-text,Gazetteer ID aus Zielfeld verwenden,FALSE,Same as target field,FALSE,Same as target field,FALSE,Sama kuin kohdekenttä,FALSE,Samma som målfält,FALSE,Identique au champ cible,FALSE,Same as target field,FALSE,El mismo que el campo de destino.,FALSE
custom.data.type.gazetteer.config.objecttype.label,Objekttyp,FALSE,Object type,FALSE,Object type,FALSE,Objektityyppi,FALSE,Objekttyp,FALSE,Type d'objet,FALSE,Object type,FALSE,Object type,FALSE
